
2W9pBY75aWOV39S73mqqbn,Giulia,Prince Paris,55,7DgJKMKFWmgXxaLBeQQPq6,Giulia,2019-11-29,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.682,0.923,0,-3.273,1,0.0364,0.00395,3e-5,0.242,0.37,130.052,153231
1JxQmgCEipmHCUiJS568pE,What Do I Do? - Benny Benassi Remix,Georgia Ku,39,1D0ELNaChtO3Dv3eI5Ces1,What Do I Do? (Benny Benassi Remix),2019-10-18,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.66,0.827,10,-5.081,1,0.0789,0.429,0,0.0923,0.611,115.349,167249
6pu5jQqenr37n0z6eBKOh0,Dreams Of You (feat. Rae Morris),Icarus,48,26et8vS0ynfWtbIFKKtZi4,Dreams Of You (feat. Rae Morris),2019-10-04,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.57,0.965,6,-4.881,0,0.0348,0.00108,0.523,0.201,0.148,123.008,291785
3RBk0P36O7wCMxF263jRJL,I Will Let You Down (feat. KLARA),Madison Mars,59,260cikvVyA0LdY9qMt2Lsd,I Will Let You Down (feat. KLARA),2019-12-06,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.608,0.918,0,-1.137,0,0.0684,0.199,0,0.309,0.422,126.022,182000
4uRx3SdWG2cNVfRNVPwHDS,Carillon (with Achille Lauro),Nahaze,64,5m6qywwXbrvheftV15bf4q,Carillon (with Achille Lauro),2019-12-11,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.561,0.562,9,-11.431,0,0.15,0.062,0,0.118,0.244,151.631,242385
3ZRgqoTb7pVO11IxcKGtMo,La Vie - Gabry Ponte Mix,DJ Ross,42,39OTG6vCVZ01IHgUH9QgTR,La Vie (Gabry Ponte Mix),2019-11-15,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.591,0.88,4,-5.153,0,0.223,0.0804,0,0.326,0.482,127.013,177638
